key,fullname,company,custom
Yosemite,Peter Hershberg,You,
Valley,Eric Friedman,You,
demnud,Michael Wolffe,You,
Goose,Charlie O'Donnell,Brooklyn Bridge Ventures,
cap,Andrew Parker,Spark Capital,
absolve,Eric Chen,You,
Marion,Sarah Tavel,Bessemer Venture Partners,
Francis,Naval Ravikant,Your angel friends,
Hyalite,Steven Carpenter,Accel Partners,
Bondage,Scott Belsky,You,
Asparagus,Sam Teller,Charlie Ventures,
setaceous,Adam Lilling,Launchpad LA,
scalare,Josh Webb,Launchpad LA,
Gutturalness,David Bookspan,DreamIt Ventures,
liverish,Michael Levinson,DreamIt Ventures,
Lying,Steven Welch,DreamIt Ventures,
panel,Steve Barsh,DreamIt Ventures,
floating,Kerry Rupp,DreamIt Ventures,
rib,Mark Wachen,DreamIt Ventures,
Monardella,William Crowder,DreamIt Ventures,
Convallariaceae,Jennifer Stranzl,NYC Seed,
louse,Owen Davis,NYC Seed,
sweet,Habib Kairouz,NYC Seed,
on,David Frankel,Founder Collective,
Ozonous,Eric Paley,Founder Collective,
meat,Bill Trenchard,Founder Collective,
packing,Caterina Fake,Founder Collective,
face,Chris Dixon,Founder Collective,
veil,Micah Rosenbloom,Founder Collective,
blaze,Zach Klein,Founder Collective,
out,Brad Burnham,Union Square Ventures,
Muffled,Fred Wilson,Union Square Ventures,
anti-aircraft,Albert Wenger,Union Square Ventures,
Birsha,John Buttrick,Union Square Ventures,
caffeinated,Andy Weissman,Union Square Ventures,
Accessary,Gary Chou,Union Square Ventures,
Invendible,Christina Cacioppo,Union Square Ventures,
Anomalistic,Dorsey Bryan,Union Square Ventures,
revolution,Paul Bricalt,AmplifyLA,
Senatorial,Richard Wolpert,AmplifyLA,
sculpturally,Jeff Solomon,AmplifyLA,
telegony,Oded Noy,AmplifyLA,
repeatable,David Carter,AmplifyLA,
Upstay,Jarl Mohn,AmplifyLA,
risnol,Jim Wiatt,AmplifyLA,
IS03,Paige Craig,AmplifyLA,
genus,Alex Finkelstein,Spark Capital,
Loiseleuria,Bijan Sabet,Spark Capital,
toasting,David Haber,Spark Capital,
fork,Mo Koyfman,Spark Capital,
Minimizimg,Nabeel Hyatt,Spark Capital,
pufabz,Paul Conway,Spark Capital,
N,Santo Politi,Spark Capital,
by,Todd Dagres,Spark Capital,
W,Zeeshan Zaidi,Spark Capital,
platinum,Jessica Livingston,Y-Combindator,
